epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.3473944664001465,0.6940181255340576,1.7043839693069458,0.7297022938728333
1,1.649321436882019,0.7355565428733826,1.51044499874115,0.7500726580619812
2,1.4693107604980469,0.7538960576057434,1.408677101135254,0.7619825601577759
3,1.3772119283676147,0.7629365921020508,1.3642916679382324,0.7624909281730652
4,1.3187971115112305,0.768979549407959,1.3030457496643066,0.773166298866272
5,1.279336929321289,0.7727445363998413,1.2520599365234375,0.777087926864624
6,1.2315545082092285,0.7776525616645813,1.2513811588287354,0.7795207500457764
7,1.2052119970321655,0.7799385786056519,1.2177810668945312,0.7821714282035828
8,1.1671258211135864,0.7833401560783386,1.1711455583572388,0.787618100643158
9,1.1414400339126587,0.7863093614578247,1.1998966932296753,0.7835148572921753
10,1.1194202899932861,0.7891895174980164,1.1522496938705444,0.7899780869483948
11,1.0906786918640137,0.7910112738609314,1.1521761417388916,0.7891067862510681
12,1.0779986381530762,0.7913464903831482,1.1484017372131348,0.7903775572776794
13,1.0606727600097656,0.7928897738456726,1.1860536336898804,0.7848221659660339
14,1.0502535104751587,0.7943801879882812,1.1076955795288086,0.7972766160964966
15,1.0253417491912842,0.7977369427680969,1.10722815990448,0.7932098507881165
16,1.008014440536499,0.7994014620780945,1.1337193250656128,0.7936093211174011
17,0.9966359734535217,0.8002615571022034,1.1105197668075562,0.7944444417953491
18,0.9923058748245239,0.8010494112968445,1.1246310472488403,0.7913216948509216
19,0.9644995331764221,0.8044952750205994,1.0978038311004639,0.7942991852760315
20,0.9600489139556885,0.8040993213653564,1.0952506065368652,0.7974945902824402
21,0.9583251476287842,0.8034650683403015,1.100766658782959,0.7951343655586243
22,0.9388106465339661,0.8078519105911255,1.1160409450531006,0.7943354845046997
23,0.9259049296379089,0.8082356452941895,1.1018965244293213,0.7972403764724731
24,0.9138699769973755,0.8088054060935974,1.1243922710418701,0.7932462096214294
25,0.90027916431427,0.8103160262107849,1.0936816930770874,0.7974582314491272
26,0.8935269713401794,0.811641275882721,1.1294262409210205,0.7938997745513916
27,0.8869583010673523,0.8124973773956299,1.1208758354187012,0.7915032505989075
28,0.8823900818824768,0.8128934502601624,1.1101138591766357,0.795098066329956
29,0.8737781047821045,0.8133336901664734,1.1218780279159546,0.7952070236206055
30,1.0108240842819214,0.797890841960907,0.8879582285881042,0.8158314824104309
31,1.008100986480713,0.7988033890724182,0.9215755462646484,0.8102396130561829
32,1.0070914030075073,0.7993809580802917,0.9222999811172485,0.8128540515899658
33,0.9864816069602966,0.8029319643974304,0.9128003716468811,0.8140159249305725
34,0.9917933344841003,0.8020594716072083,0.9236204028129578,0.8126360774040222
35,0.9837824106216431,0.8031741976737976,0.9539042115211487,0.8076253533363342
36,0.9844961166381836,0.8018978238105774,0.9441921710968018,0.8126723766326904
37,0.9733487963676453,0.8045755624771118,0.9686864614486694,0.8079158067703247
38,0.9813321232795715,0.8026047945022583,0.956827700138092,0.8111110925674438
39,0.9721445441246033,0.8035741448402405,0.9611814022064209,0.8087871670722961
40,0.8948696255683899,0.8130751252174377,0.8344449996948242,0.8219318389892578
41,0.8859383463859558,0.8160765767097473,0.8252448439598083,0.8198620676994324
42,0.8761400580406189,0.8170901536941528,0.8169540762901306,0.8233115077018738
43,0.8684917092323303,0.8173327445983887,0.8245241641998291,0.8220406770706177
44,0.8616072535514832,0.8176602721214294,0.8408859372138977,0.8177196979522705
45,0.8595198392868042,0.8177530765533447,0.852567195892334,0.8152868747711182
46,0.8491234183311462,0.8189565539360046,0.8271215558052063,0.8215323090553284
47,0.8460182547569275,0.8191182613372803,0.8257364630699158,0.8217864632606506
48,0.8406644463539124,0.8199179172515869,0.8047868013381958,0.8247638940811157
49,0.8397542238235474,0.8199222683906555,0.8108295798301697,0.826143741607666
50,0.8423715233802795,0.8195949196815491,0.8041121363639832,0.8249092102050781
51,0.838360071182251,0.8200231194496155,0.7986050844192505,0.8272331357002258
52,0.8287109732627869,0.8223581314086914,0.7777128219604492,0.8316630721092224
53,0.825660765171051,0.822588324546814,0.7682594060897827,0.8333696722984314
54,0.8206399083137512,0.8225356340408325,0.7936432957649231,0.8296296000480652
55,0.8113261461257935,0.8238202929496765,0.7847808003425598,0.8280319571495056
56,0.8103269338607788,0.8241839408874512,0.7912526726722717,0.8290486931800842
57,0.805861234664917,0.8246765732765198,0.7910540699958801,0.8275598883628845
58,0.8101600408554077,0.82340008020401,0.8081919550895691,0.8261074423789978
59,0.8044464588165283,0.8248909115791321,0.8043272495269775,0.827923059463501
60,0.7968372702598572,0.825706422328949,0.7813085317611694,0.8319898843765259
61,0.7968351244926453,0.8252662420272827,0.7967021465301514,0.8283588290214539
62,0.7951459288597107,0.8257349729537964,0.802145779132843,0.827632486820221
63,0.7866923213005066,0.8261188864707947,0.7836189866065979,0.8314452171325684
64,0.7846230864524841,0.826962947845459,0.8195440769195557,0.8254538178443909
65,0.7789341807365417,0.8283201456069946,0.7883548736572266,0.8295570015907288
66,0.7793663740158081,0.8277665972709656,0.8219276070594788,0.8262526392936707
67,0.779444694519043,0.8268661499023438,0.8002375364303589,0.8274147510528564
68,0.7717593312263489,0.8290595412254333,0.7996920943260193,0.8286491632461548
69,0.7746482491493225,0.8271163702011108,0.808188796043396,0.8274147510528564
70,0.7614126801490784,0.82966148853302,0.8053901791572571,0.8269789218902588
71,0.7625579833984375,0.8299359083175659,0.808748722076416,0.8275962471961975
72,0.7666316628456116,0.8283730149269104,0.8017880320549011,0.8283224105834961
73,0.7576568722724915,0.829960286617279,0.7936592102050781,0.8322802782058716
74,0.7528439164161682,0.8315115571022034,0.7998620271682739,0.8291938900947571
75,0.7457666397094727,0.8316934108734131,0.8033567667007446,0.8281772136688232
76,0.7527548670768738,0.8301824927330017,0.7915284633636475,0.8287944197654724
77,0.7396569848060608,0.8330387473106384,0.8022196292877197,0.8279593586921692
78,0.7371023893356323,0.8325619101524353,0.8101506233215332,0.8259259462356567
79,0.7297602295875549,0.8341735601425171,0.8466911315917969,0.8222585320472717
80,0.7374878525733948,0.8337531685829163,0.7914611101150513,0.8281771540641785
81,0.7332072257995605,0.8331514000892639,0.8176820874214172,0.8255264759063721
82,0.7254012227058411,0.8344240784645081,0.8026487231254578,0.8293390870094299
83,0.7294590473175049,0.8347512483596802,0.820426881313324,0.8253812789916992
84,0.7249658703804016,0.8343149423599243,0.7944067716598511,0.8264342546463013
85,0.7252700924873352,0.834262490272522,0.8000417947769165,0.8282498121261597
86,0.7177200317382812,0.8358457684516907,0.7968472242355347,0.8295570015907288
87,0.7212079167366028,0.8352401852607727,0.7994619607925415,0.8285765647888184
88,0.7191212773323059,0.8357042670249939,0.7880426645278931,0.8308642506599426
89,0.7090860605239868,0.8363065719604492,0.8378995656967163,0.8221132755279541
90,0.7118105292320251,0.8355227112770081,0.8121652603149414,0.8262163996696472
91,0.7047151923179626,0.8382657170295715,0.7975468635559082,0.8286492228507996
92,0.7022649645805359,0.8379788398742676,0.8153364062309265,0.8284313678741455
93,0.7018599510192871,0.8380837440490723,0.7944743037223816,0.8291938900947571
94,0.703647792339325,0.8369811773300171,0.812465488910675,0.8279957175254822
95,0.6944316625595093,0.8377363085746765,0.8261017799377441,0.8243282437324524
96,0.6963637471199036,0.8380717635154724,0.8186195492744446,0.8282498717308044
97,0.6887179017066956,0.8388877511024475,0.8216262459754944,0.8273420333862305
